18	21	17	22	19	16	17	17	20	36	75	46	37	53	53	32
20	20	15	84	20	27	38	27	20	21	17	17	19	20	20	18
19	20	18	290	17	19	18	17	20	22	18	21	22	21	19	18
22	21	17	21	19	18	17	17	21	24	123	39	21	21	26	25
19	22	16	19	20	18	17	18	19	25	331	36	21	30	30	20
20	19	16	20	19	20	17	16	17	43	22	25	20	23	19	77
20	128	15	39	33	50	19	62	19	22	20	22	19	20	18	18
20	23	18	21	22	19	17	18	19	48	75	20	24	31	27	24
21	21	16	19	19	19	16	17	19	93	71	32	32	51	44	41
20	18	17	20	20	18	16	19	20	44	396	31	31	31	44	25
20	18	17	23	22	16	16	16	18	22	41	39	38	31	26	20
18	20	16	20	26	21	17	17	18	27	32	20	19	276	19	18
18	17	15	21	19	15	15	18	19	30	43	28	20	26	111	29
19	19	16	20	18	18	17	18	19	23	116	35	19	31	39	38
19	17	16	19	19	18	16	17	21	26	100	24	23	28	24	27
17	23	16	107	48	59	48	21	18	23	18	21	19	20	17	16
21	22	15	21	19	320	17	18	21	22	14	19	18	20	18	20
21	18	16	29	25	20	16	19	22	104	1996	154	148	196	178	114
20	18	16	21	20	18	17	19	21	23	19	212	21	24	28	22
27	21	17	19	21	22	18	16	24	50	25	27	31	22	19	49
19	19	16	20	22	20	18	18	18	24	40	297	25	26	30	22
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	39	15	35	33	28	33	28	19	21	20	19	22	20	18	18
22	18	17	22	20	17	18	17	21	26	464	129	29	53	70	43
20	19	16	118	26	34	39	25	19	23	17	20	18	21	18	19
21	19	15	21	19	19	17	17	20	23	25	23	296	19	18	23
21	19	17	19	19	23	15	17	20	49	29	35	23	21	17	124
26	193	16	25	33	52	26	51	19	22	14	22	20	22	16	15
22	188	16	23	25	30	22	32	19	20	18	23	23	24	19	18
19	119	15	21	18	19	18	22	20	21	17	20	22	20	18	17
19	23	15	21	21	18	19	18	19	25	55	167	40	33	39	19
20	21	15	21	22	18	16	17	19	69	111	56	55	46	66	68
19	86	17	48	42	44	51	45	19	24	19	20	18	23	18	20
19	21	16	22	20	19	17	16	20	23	20	20	22	19	19	308
20	18	16	21	22	17	17	16	20	34	75	44	25	76	165	19
20	135	17	78	58	78	58	50	18	23	17	20	23	21	15	17
18	19	18	21	19	16	18	17	20	22	30	62	23	23	27	21
19	21	16	22	18	18	17	15	21	60	217	82	73	105	170	74
19	52	16	33	30	24	14	55	20	22	17	23	20	22	20	16
50	21	17	22	21	20	16	17	143	24	17	20	24	27	16	22
36	1967	16	65	56	106	81	266	19	23	17	22	41	29	17	18
20	20	14	21	19	19	16	18	21	45	98	44	23	42	330	25
19	1210	16	24	28	27	23	64	23	20	17	20	20	19	17	17
33	85	17	22	30	27	17	43	24	23	15	23	19	22	16	17
19	20	16	22	19	20	17	17	18	24	145	20	20	21	20	19
20	21	15	23	35	33	16	15	28	206	567	179	103	155	1751	111
27	73	16	45	32	19	15	123	21	24	15	22	20	22	17	17
21	17	16	23	22	16	18	18	21	37	107	29	24	162	27	18
61	19	15	29	71	28	16	17	44	234	550	135	140	737	619	322
53	24	18	37	58	49	18	17	44	520	132	113	118	125	124	260
18	43	15	30	25	39	63	24	19	20	16	21	21	20	17	18
18	53	15	24	25	43	17	42	23	23	16	27	22	19	16	17
19	80	17	67	36	46	33	28	20	23	16	20	19	22	16	19
19	21	14	25	36	97	22	15	18	21	15	23	20	20	17	16
729	27	17	24	38	40	17	30	63	27	15	33	31	23	17	19
20	37	21	404	59	65	86	49	20	23	14	23	23	23	15	16
18	43	17	37	25	22	24	51	19	22	15	20	19	21	19	19
20	18	16	21	20	17	17	19	21	21	52	27	27	97	34	19
21	21	15	20	437	26	15	18	21	23	13	21	19	20	16	14
19	21	16	20	19	19	17	17	19	24	1307	27	20	24	31	25
20	18	15	21	21	18	16	17	16	23	70	41	64	107	45	17
18	63	16	48	43	54	42	32	19	20	16	22	20	22	18	21
26	44	17	50	28	2653	22	24	20	24	16	21	45	21	15	18
20	20	16	21	20	20	17	19	128	21	18	22	21	23	17	18
21	28	16	25	19	158	17	16	19	22	18	23	21	21	19	21
18	18	17	18	19	17	19	16	20	24	60	27	23	114	41	21
20	47	15	39	34	38	44	27	20	21	17	21	18	20	15	15
19	30	15	33	21	31	108	14	20	22	16	21	20	20	16	17
19	61	16	37	21	21	27	33	20	24	17	20	21	24	16	19
19	264	17	23	24	24	16	41	20	23	18	20	20	22	19	20
21	61	16	69	62	111	272	26	19	20	15	18	23	22	18	18
19	18	16	20	19	16	18	18	19	24	33	32	72	40	20	18
20	20	17	163	45	29	22	17	21	21	18	20	21	22	19	18
20	18	17	19	21	16	15	18	20	22	47	23	20	22	593	18
19	20	15	19	20	20	17	19	19	22	157	23	21	20	22	18
